_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__flow,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__phosphate,pst_outlet__bod,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,date,inlet_dosing,outlet_dosing,,,,,,,,
61556fa5808069001173b00e,2021-09-29T06:32:45.107Z,FALSE,automatic,1.32,0.5,1.5,950,7.4,480,284,45,4.5,184,350,7.3,240,90,25,1.5,76,7.3,1860,1.24,12,64.51612903,,16,7.2,34,12,12,0.8,2.54,10,9/25/2021,,,,,,,,,,
616136a3894b980013a182e3,2021-10-09T05:26:01.35Z,FALSE,automatic,5.455,0.002,0.028,203,7.49,310,204,40,2,130,99,7.54,190,98,38,1.5,83,7.52,1160,1.6,14,120.6896552,,12.4,7.53,30,13,32,0.8,1.3,8,9/23/2021,,,,,,,,,,
616138ea894b980013a1831d,2021-10-09T05:26:01.35Z,FALSE,automatic,5.283,0.003,0.03,215,7.39,340,216,32,1.8,145,95,7.55,200,96,30,1.6,87,7.53,1040,1.8,12,115.3846154,,21.1,7.58,50,22,26,0.4,1.4,14,9/24/2021,,,,,,,,,,
61613b58894b980013a18390,2021-10-09T05:26:01.35Z,FALSE,automatic,1.475,0.003,0.03,259,7.46,360,260,36,2.4,153,84.11,7.68,170,82,35,2.2,73,7.74,1310,1.48,15,114.5038168,,13.8,7.62,40,14,32,0.5,1.56,8,9/26/2021,,,,,,,,,,
61613c8b894b980013a183c6,2021-10-09T05:26:01.35Z,FALSE,automatic,1.314,0.003,0.03,255,7.42,370,256,42,2.2,155,104,7.52,210,104,40,2,82,7.76,1410,1.53,18,127.6595745,,14.3,7.66,30,15,39,0.9,1.33,9,9/27/2021,,,,,,,,,,
61613d58894b980013a183fc,2021-10-09T05:26:01.35Z,FALSE,automatic,1.421,0.003,0.03,239,7.46,370,240,40,2.4,155,87.6,7.5,170,84,40,2,78,7.62,1610,1.79,18,111.8012422,,15.2,7.7,30,16,34,1.9,1.6,9,9/28/2021,,,,,,,,,,
61613fc1894b980013a18432,2021-10-09T05:26:01.35Z,FALSE,automatic,1.437,0.003,0.03,233,7.37,370,234,38,2,153,94.1,7.44,190,92,38,2,81,7.74,1200,1.88,13,108.3333333,,16.26,7.59,40,17,36,1,1.52,10,9/29/2021,,,,,,,,,,
616140d3894b980013a18496,2021-10-09T05:26:01.35Z,FALSE,automatic,1.923,0.002,0.03,261,7.28,400,262,37,2.3,160,88.2,7.4,170,86,36,1.9,75,7.62,1610,1.5,22,136.6459627,,16.34,7.7,40,17,32,1.5,1.4,10,9/30/2021,,,,,,,,,,
617d1c97e312a400112d4107,2021-10-29T09:40:01.617Z,FALSE,automatic,0.95,0.003,0.03,252,7.24,152,244,37,2.3,152,74.05,7.23,170,76,34,1.9,64,7.58,960,1.37,12,125,,30.53,7.62,60,33,30,0.7,1.02,18,10/15/2021,,,,,,,,,,
617f915670c63200112909cb,2021-11-01T06:06:44.671Z,FALSE,automatic,0.93,0.003,0.03,260,7.4,360,264,36,2.1,142,78,7.29,170,80,34,1.7,73,7.6,1410,1.42,15,106.3829787,,24.6,7.63,50,25,30,0.4,1.29,16,10/16/2021,,,,,,,,,,
617f94cb70c6320011290aa4,2021-11-01T06:06:44.671Z,FALSE,automatic,0.94,0.003,0.03,281,7.38,370,282,32,1.6,140,70,7.61,150,71,30,1.5,69,7.66,1250,1.37,14,112,,19.27,7.69,50,20,29,0.8,1.49,14,10/17/2021,,,,,,,,,,
617f96c870c6320011290b3d,2021-11-01T06:06:44.671Z,FALSE,automatic,0.95,0.003,0.03,311,7.18,330,312,30,1.2,143,66.8,7.64,150,68,30,0.8,68,7.69,890,1.39,9,101.1235955,,20.16,7.7,50,21,26,0.6,1.46,16,10/18/2021,,,,,,,,,,
617f986a70c6320011290bbb,2021-11-01T06:06:44.671Z,FALSE,automatic,0.94,0.003,0.03,297,7.39,340,298,32,1.6,146,70,7.64,150,70,30,1,68,7.69,850,1.56,8,94.11764706,,19.46,7.63,40,20,30,0.9,1.49,13,10/19/2021,,,,,,,,,,
6180dbf570c63200112912d0,2021-11-01T06:06:44.671Z,FALSE,automatic,0.93,0.003,0.03,279,7.56,380,280,36,1.8,158,66.1,7.69,130,64,34,1.2,60,7.68,1030,1.38,12,116.5048544,,21.46,7.74,50,22,31,0.8,1.56,14,10/20/2021,,,,,,,,,,
6180eb3770c6320011291404,2021-11-01T06:06:44.671Z,FALSE,automatic,0.94,0.003,0.03,271,7.21,380,160,38,2.1,160,78.4,7.63,150,76,36,1.8,70,7.71,980,1.56,10,102.0408163,,17.51,7.65,40,18,31,0.8,1.72,12,10/21/2021,,,,,,,,,,
6181021970c63200112917d6,2021-11-01T06:06:44.671Z,FALSE,automatic,0.94,0.003,0.03,283,7.22,350,284,36,1.6,148,73.22,7.62,150,74,35,1.5,70,7.69,2040,1.49,20,98.03921569,,22.56,7.64,50,23,30,0.5,1.56,15,10/23/2021,,,,,,,,,,
6181038370c6320011291847,2021-11-01T06:06:44.671Z,FALSE,automatic,0.95,0.003,0.03,289,7.38,360,290,38,1.6,150,70.01,7.69,160,70,36,1.6,75,7.71,1980,1.54,18,90.90909091,,20.46,7.62,50,21,35,0.5,1.68,14,10/24/2021,,,,,,,,,,
618104b570c63200112918b8,2021-11-01T06:06:44.671Z,FALSE,automatic,0.92,0.003,0.03,242,7.35,340,244,37,1.9,163,70,7.28,160,72,36,1.6,72,7.46,2090,1.73,22,105.2631579,,20.67,7.59,50,21,31,0.8,1.67,13,10/22/2021,,,,,,,,,,
618105ec70c6320011291929,2021-11-01T06:06:44.671Z,FALSE,automatic,0.94,0.003,0.03,317,7.39,380,318,33,1.5,155,63.27,7.63,130,64,33,1.2,60,7.69,1810,1.36,17,93.92265193,,17.46,7.64,40,18,30,0.5,1.48,11,10/25/2021,,,,,,,,,,
6181072470c632001129199a,2021-11-01T06:06:44.671Z,FALSE,automatic,0.93,0.003,0.03,246,7.64,350,248,38,2.2,150,81.17,7.51,170,82,36,2,80,7.65,1580,1.38,16,101.2658228,,16.46,7.7,30,17,31,0.5,1.44,10,10/26/2021,,,,,,,,,,
61810d9c70c6320011291a89,2021-11-01T06:06:44.671Z,FALSE,automatic,0.93,0.003,0.03,223,7.39,330,224,35,1.5,140,86.68,7.33,170,88,30,1.3,81,7.68,1710,1.81,18,105.2631579,,15.7,7.81,30,16,20,0.5,1.68,9,10/27/2021,,,,,,,,,,
6184ed6670c6320011292653,2021-11-01T06:06:44.671Z,FALSE,automatic,1.01,0.003,0.03,211,7.38,320,212,38,2,138,78.2,7.61,170,80,33,1.6,79,7.65,1260,1.56,13,103.1746032,,14.76,7.63,30,15,28,0.9,1.76,8,10/28/2021,,,,,,,,,,
6184ef2070c632001129270d,2021-11-01T06:06:44.671Z,FALSE,automatic,0.95,0.003,0.03,235,7.44,320,238,36,1.2,140,73.9,7.36,160,76,32,0.9,83,7.68,1110,1.61,12,108.1081081,,13.6,7.7,30,14,22,0.4,1.55,7,10/29/2021,,,,,,,,,,
6184eff370c63200112927a4,2021-11-01T06:06:44.671Z,FALSE,automatic,1.03,0.003,0.03,201,7.31,330,202,35,1.5,143,101,7.64,190,98,32,1.2,89,7.69,1200,1.39,13,108.3333333,,11.38,7.71,20,12,24,0.5,1.56,7,10/30/2021,,,,,,,,,,
6184f11170c632001129283b,2021-11-01T06:06:44.671Z,FALSE,automatic,0.953125,0.003,0.03,223,7.38,340,224,36,1.8,145,90.6,7.69,190,89,31,1.1,85,7.71,1240,1.38,14,112.9032258,,12.46,7.64,30,13,23,0.5,1.51,7,10/31/2021,,,,,,,,,,
6184f1c470c63200112928a5,2021-11-01T06:06:44.671Z,FALSE,automatic,1.02,0.003,0.03,257,7.08,340,256,34,1.2,147,72,7.46,150,74,30,1,70,7.68,1740,1.56,16,91.95402299,,11.26,7.79,20,12,22,0.6,1.42,6,11/1/2021,,,,,,,,,,
6184f43670c6320011292994,2021-11-01T06:06:44.671Z,FALSE,automatic,0.9765625,0.003,0.03,271,7.38,360,272,35,1.8,148,71.4,7.63,160,72,33,1.2,77,7.68,1170,1.38,12,102.5641026,,13.4,7.7,30,14,23,0.5,1.4,7,11/2/2021,,,,,,,,,,
6191f389c46b6c0013368ed2,2021-11-15T05:23:26.26Z,FALSE,automatic,0.81,0.003,0.03,261,7.37,340,262,38,1.6,145,68.6,7.62,150,69,34,1.2,68,7.69,1140,1.38,12,105.2631579,,12.46,7.71,30,13,24,0.5,1.42,8,11/3/2021,,,,,,,,,,
6191f44fc46b6c0013368f7a,2021-11-15T05:23:26.26Z,FALSE,automatic,0.78,0.003,0.03,253,7.38,350,254,35,1.2,143,66.7,7.62,140,67,32,0.9,66,7.64,1120,1.69,11,98.21428571,,9.58,7.67,20,10,23,0.5,1.51,5,11/4/2021,,,,,,,,,,
6191f53cc46b6c0013369080,2021-11-15T05:23:26.26Z,FALSE,automatic,0.83,0.003,0.03,300,7.37,370,298,36,1.9,148,79.3,7.21,150,78,33,1.5,66,7.53,1680,1.64,15,89.28571429,,5.4,7.73,20,6,28,0.5,1.53,4,11/5/2021,,,,,,,,,,
6191f81dc46b6c00133691d5,2021-11-15T05:23:26.26Z,FALSE,automatic,0.75,0.003,0.03,247,7.53,330,248,42,1.8,140,66,7.6,140,66,40,1,63,7.7,1320,1.72,12,90.90909091,,10.56,7.66,20,11,36,0.3,1.43,5,11/6/2021,,,,,,,,,,
6191f86ec46b6c001336927b,2021-11-15T05:23:26.26Z,FALSE,automatic,0.69921875,0.003,0.03,230,7.33,350,234,37,1.8,148,78,7.34,180,80,30,1,78,7.7,1520,1.92,16,105.2631579,,7.68,7.89,20,8,18,0.4,1.78,4,11/10/2021,,,,,,,,,,
6191f8c7c46b6c00133692f1,2021-11-15T05:23:26.26Z,FALSE,automatic,0.78,0.003,0.03,250,7.42,340,252,38,1.7,146,73.27,7.37,160,74,36,1.1,70,7.69,1120,1.79,9,80.35714286,,9.9,7.68,20,10,23,0.4,1.57,4,11/7/2021,,,,,,,,,,
6191f97fc46b6c001336940f,2021-11-15T05:23:26.26Z,FALSE,automatic,0.79,0.003,0.03,224,7.37,320,226,40,1.6,135,75,7.62,160,77,28,1.2,75,7.71,1480,1.87,14,94.59459459,,8.71,7.68,30,9,20,0.5,1.7,6,11/11/2021,,,,,,,,,,
6191f9f3c46b6c00133694de,2021-11-15T05:23:26.26Z,FALSE,automatic,0.76,0.003,0.03,269,7.34,350,270,28,1.2,153,77,7.32,170,78,25,1,75,7.58,1560,1.32,16,102.5641026,,8.56,7.6,20,9,22,0.5,1.41,4,11/8/2021,,,,,,,,,,
6191fa51c46b6c001336963d,2021-11-15T05:23:26.26Z,FALSE,automatic,0.82,0.003,0.03,238,7.53,340,240,30,1.2,140,80,7.65,180,82,24,0.4,77,7.7,1560,1.9,16,102.5641026,,9.7,7.76,20,10,18,0.4,1.8,4,11/12/2021,,,,,,,,,,
6191faf1c46b6c00133696c3,2021-11-15T05:23:26.26Z,FALSE,automatic,0.75,0.003,0.03,220,7.4,310,222,35,2,145,86.01,7.58,180,86,31,0.9,82,7.68,1670,1.57,18,107.7844311,,9.76,7.66,20,10,23,0.7,1.42,5,11/9/2021,,,,,,,,,,
6194db25c46b6c001336cee4,2021-11-15T05:23:26.26Z,FALSE,automatic,0.6953125,0.003,0.03,241,7.29,330,246,36,1.9,145,73,7.35,180,75,28,0.5,73,7.66,1370,1.7,14,102.189781,,11.6,7.87,30,12,21,0.4,1.44,6,11/13/2021,,,,,,,,,,
6194dcacc46b6c001336cf92,2021-11-15T05:23:26.26Z,FALSE,automatic,0.72,0.003,0.03,254,7.35,350,256,34,1.5,148,87.3,7.42,180,85,26,0.5,80,7.48,1560,1.95,18,115.3846154,,8.77,7.68,20,9,20,0.4,1.86,5,11/14/2021,,,,,,,,,,
6198979dc46b6c001336d2d6,2021-11-15T05:23:26.26Z,FALSE,automatic,0.73,0.003,0.03,264,7.37,360,268,32,1.2,153,79.3,7.58,170,80,28,0.4,75,7.56,1880,1.74,24,127.6595745,,8.66,7.69,20,10,20,0.5,1.8,6,11/15/2021,,,,,,,,,,
61a9c0593edfd5001121d0d9,2021-12-01T10:09:44.195Z,FALSE,automatic,0.86,0.003,0.03,269,7.59,350,270,36,1.8,140,83.51,7.34,180,84,34,1.2,73,7.68,1150,1.4,12,104.3478261,,39.4,7.79,80,40,30,1.2,1.27,21,11/30/2021,,,,,,,,,,
61ab43c64fe3990011b206ff,2021-12-04T08:02:02.352Z,FALSE,automatic,8.88,0.003,0.03,236,7.45,370,238,38,1,146,81.7,7.48,170,82,30,0.9,74,7.68,560,1.46,6,107.1428571,,37.46,7.69,80,38,28,0.4,1,20,12/1/2021,,,,,,,,,,
61b09445909ca90012b863c1,2021-12-08T10:22:16.939Z,FALSE,automatic,0.83,0.003,0.03,265,7.28,370,266,36,1.9,145,80.6,7.62,160,78,24,0.9,65,7.7,570,1.4,6,105.2631579,,29.56,7.73,70,30,20,0.7,1.36,18,12/2/2021,,,,,,,,,,
61b09516909ca90012b8642b,2021-12-08T10:22:16.939Z,FALSE,automatic,0.79,0.003,0.03,237,7.3,360,238,38,1.8,148,88.3,7.38,180,90,34,1.2,73,7.42,780,1.42,8,102.5641026,,24.3,7.48,50,25,30,0.8,1.28,15,12/3/2021,,,,,,,,,,
