_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__flow,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__phosphate,pst_outlet__bod,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,date,inlet_dosing,outlet_dosing,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
616136a3894b980013a182e3,2021-10-09T05:26:01.35Z,False,automatic,5.455,0.002,0.028,203.0,7.49,310.0,204,40,2.0,130.0,99.0,7.54,190.0,98.0,38.0,1.5,83.0,7.52,1160,1.6,14,120.6896552,,12.4,7.53,30,13,32.0,0.8,1.3,8.0,2021-09-23,,,,,,,,,,
616138ea894b980013a1831d,2021-10-09T05:26:01.35Z,False,automatic,5.283,0.003,0.03,215.0,7.39,340.0,216,32,1.8,145.0,95.0,7.55,200.0,96.0,30.0,1.6,87.0,7.53,1040,1.8,12,115.3846154,,21.1,7.58,50,22,26.0,0.4,1.4,14.0,2021-09-24,,,,,,,,,,
61556fa5808069001173b00e,2021-09-29T06:32:45.107Z,False,automatic,1.32,0.5,1.5,950.0,7.4,480.0,284,45,4.5,184.0,350.0,7.3,240.0,90.0,25.0,1.5,76.0,7.3,1860,1.24,12,64.51612903,,16.0,7.2,34,12,12.0,0.8,2.54,10.0,2021-09-25,,,,,,,,,,
61613b58894b980013a18390,2021-10-09T05:26:01.35Z,False,automatic,1.475,0.003,0.03,259.0,7.46,360.0,260,36,2.4,153.0,84.11,7.68,170.0,82.0,35.0,2.2,73.0,7.74,1310,1.48,15,114.5038168,,13.8,7.62,40,14,32.0,0.5,1.56,8.0,2021-09-26,,,,,,,,,,
61613c8b894b980013a183c6,2021-10-09T05:26:01.35Z,False,automatic,1.314,0.003,0.03,255.0,7.42,370.0,256,42,2.2,155.0,104.0,7.52,210.0,104.0,40.0,2.0,82.0,7.76,1410,1.53,18,127.6595745,,14.3,7.66,30,15,39.0,0.9,1.33,9.0,2021-09-27,,,,,,,,,,
61613d58894b980013a183fc,2021-10-09T05:26:01.35Z,False,automatic,1.421,0.003,0.03,239.0,7.46,370.0,240,40,2.4,155.0,87.6,7.5,170.0,84.0,40.0,2.0,78.0,7.62,1610,1.79,18,111.8012422,,15.2,7.7,30,16,34.0,1.9,1.6,9.0,2021-09-28,,,,,,,,,,
61613fc1894b980013a18432,2021-10-09T05:26:01.35Z,False,automatic,1.437,0.003,0.03,233.0,7.37,370.0,234,38,2.0,153.0,94.1,7.44,190.0,92.0,38.0,2.0,81.0,7.74,1200,1.88,13,108.3333333,,16.26,7.59,40,17,36.0,1.0,1.52,10.0,2021-09-29,,,,,,,,,,
616140d3894b980013a18496,2021-10-09T05:26:01.35Z,False,automatic,1.923,0.002,0.03,261.0,7.28,400.0,262,37,2.3,160.0,88.2,7.4,170.0,86.0,36.0,1.9,75.0,7.62,1610,1.5,22,136.6459627,,16.34,7.7,40,17,32.0,1.5,1.4,10.0,2021-09-30,,,,,,,,,,
617d1c97e312a400112d4107,2021-10-29T09:40:01.617Z,False,automatic,0.95,0.003,0.03,252.0,7.24,152.0,244,37,2.3,152.0,74.05,7.23,170.0,76.0,34.0,1.9,64.0,7.58,960,1.37,12,125.0,,30.53,7.62,60,33,30.0,0.7,1.02,18.0,2021-10-15,,,,,,,,,,
617f915670c63200112909cb,2021-11-01T06:06:44.671Z,False,automatic,0.93,0.003,0.03,260.0,7.4,360.0,264,36,2.1,142.0,78.0,7.29,170.0,80.0,34.0,1.7,73.0,7.6,1410,1.42,15,106.3829787,,24.6,7.63,50,25,30.0,0.4,1.29,16.0,2021-10-16,,,,,,,,,,
