"_id__$oid","last_updated__$date","|","|__odour","|__time","|__ph","|__total_alkalinity","|__mlss","|__do","|__percent_settlement","|__svi","|__cod","|__tss","|__ammonia","|__phosphate","|__sulphide","|__bod","|__dosing_mode","|__flow","|__applied_dose","|__fecl3_concentration_percent","|__fecl3_consumption","|__fecl3_concentration_ppm","|__dose_rate","|__$date","|__$oid","is_deleted","custom_dosing_data__dosing_mode","custom_dosing_data__flow","custom_dosing_data__applied_dose","custom_dosing_data__fecl3_concentration_percent","custom_dosing_data__fecl3_consumption","custom_dosing_data__fecl3_concentration_ppm","custom_dosing_data__dose_rate","raw_sewage__odour","raw_sewage__time","raw_sewage__ph","raw_sewage__cod","raw_sewage__tss","raw_sewage__ammonia","raw_sewage__phosphate","raw_sewage__sulphide","raw_sewage__bod","inlet_channel__odour","inlet_channel__time","inlet_channel__ph","inlet_channel__cod","inlet_channel__tss","inlet_channel__ammonia","inlet_channel__phosphate","inlet_channel__sulphide","inlet_channel__bod","inlet__odour","inlet__time","inlet__ph","inlet__cod","inlet__tss","inlet__ammonia","inlet__phosphate","inlet__sulphide","inlet__bod","pst_inlet__odour","pst_inlet__time","pst_inlet__ph","pst_inlet__cod","pst_inlet__tss","pst_inlet__ammonia","pst_inlet__phosphate","pst_inlet__sulphide","pst_inlet__bod","pst_outlet__odour","pst_outlet__time","pst_outlet__ph","pst_outlet__cod","pst_outlet__tss","pst_outlet__ammonia","pst_outlet__phosphate","pst_outlet__sulphide","pst_outlet__bod","at__odour","at__time","at__ph","at__mlss","at__do","at__percent_settlement","at__svi","fst__odour","fst__time","fst__ph","fst__cod","fst__tss","fst__ammonia","fst__phosphate","fst__sulphide","fst__do","remarks","date","user_id","odour_id","analysis_id","createdAt__$date","updatedAt__$date","__v","bod_date_time","updated_by"
"","","_id","","","","","","","","","","","","","","","","","","","","","","","60f149956945830013ede9e9","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-07-01","60f145d12287270012a59b6a","","c48e0buyjz","","","0","null","null"
"","","last_updated","","","","","","","","","","","","","","","","","","","","","","2021-07-15T09:42:47.031Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","custom_dosing_data","","","","","","","","","","","","","","","Manual","8024","1.5","10","12.036","100000","120.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","raw_sewage","offensive","","7.2","","","","","","440","238","42","4.2","4.2","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet_channel","odourless","","7.1","","","","","","390","180","32","3.2","0.8","185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","inlet","odourless","","7.2","","","","","","380","194","34","3.2","1.2","193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_inlet","mildodour","","7.3","","","","","","360","138","32","3.6","2.8","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","pst_outlet","mildodour","","7.3","","","","","","290","118","24","2.4","2","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","at","mildodour","","7.4","","1360","0.32","5","36.76470588235294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","fst","odourless","10:30","7.5","","","1.04","","","70","78","18","2.2","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","createdAt","","","","","","","","","","","","","","","","","","","","","","2021-07-16T08:55:49.282Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","updatedAt","","","","","","","","","","","","","","","","","","","","","","2021-07-16T08:56:53.83Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
